id,year,active_year,start_year,end_year,type_of_violence,conflict_new_id,conflict_name,dyad_new_id,dyad_name,side_a_new_id,gwnoa,side_a,side_b_new_id,gwnob,side_b,number_of_sources,source_article,source_office,source_date,source_headline,source_original,where_prec,where_coordinates,adm_1,adm_2,latitude,longitude,geom_wkt,priogrid_gid,country,country_id,iso3,region,event_clarity,date_prec,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,low,best,high
,#date+year,,#date+year+start,#date+year+end,,,,,,,,#group+name+first,,,#group+name+second,,#meta+source,,,#description,,,#loc+name,#adm1+name,#adm2+name,#geo+lat,#geo+lon,,,#country+name,,#country+code,#region+name,,,#date+start,#date+end,,,,,,#affected+killed,
34783,2003,1,2003,2003,1,329,Ethiopia: Ogaden,719,Government of Ethiopia - ONLF,97,530.0,Government of Ethiopia,497,,ONLF,-1,"BBC Monitoring Africa 26/4-03; Radio Freedom, Voice of the Ogadeni People audio web site in Somali 25 Apr 03: ""Radio gives toll of government soldiers reportedly killed by ONLF",,,,,2,Degeh Madow town,Somali state,Degehabur zone,7.98333,43.01667,POINT (43.016670 7.983330),140847,Ethiopia,530,ETH,Africa,1,2,2003-04-09,2003-04-14,0,0,0,0,0,0,8
34986,2003,1,2003,2003,1,329,Ethiopia: Ogaden,719,Government of Ethiopia - ONLF,97,530.0,Government of Ethiopia,497,,ONLF,-1,"BBC Monitoring Africa 26/4-03; Radio Freedom, Voice of the Ogadeni People audio web site in Somali 25 Apr 03: ""Radio gives toll of government soldiers reportedly killed by ONLF",,,,,1,Degehabur town,Somali state,Degehabur zone,8.220556,43.557222,POINT (43.557222 8.220556),141568,Ethiopia,530,ETH,Africa,1,1,2003-04-14,2003-04-14,0,0,0,0,0,0,7
35295,2003,1,2003,2003,1,413,Ethiopia: Oromiya,869,Government of Ethiopia - OLF,97,530.0,Government of Ethiopia,551,,OLF,-1,"BBC Monitoring Africa 20/5-03; Voice of Oromo Liberation audio web site in Oromo 18 May 03: ""Oromo rebels claim killing 10 government soldiers in east",,,,,2,Babile woreda,Oromiya state,East Hararghe zone,9.225555,42.332222,POINT (42.332222 9.225555),143005,Ethiopia,530,ETH,Africa,1,4,2003-04-15,2003-04-30,0,0,0,0,0,0,10
34880,2003,1,2003,2003,1,329,Ethiopia: Ogaden,719,Government of Ethiopia - ONLF,97,530.0,Government of Ethiopia,497,,ONLF,-1,"BBC Monitoring Africa 26/4-03; Radio Freedom, Voice of the Ogadeni People audio web site in Somali 25 Apr 03: ""Radio gives toll of government soldiers reportedly killed by ONLF",,,,,3,Degehabur zone,Somali state,Degehabur zone,8.220556,43.557222,POINT (43.557222 8.220556),141568,Ethiopia,530,ETH,Africa,1,2,2003-04-22,2003-04-24,0,0,0,0,0,0,12
35288,2003,1,2003,2003,1,413,Ethiopia: Oromiya,869,Government of Ethiopia - OLF,97,530.0,Government of Ethiopia,551,,OLF,-1,"BBC Monitoring Africa 24/5-03; Voice of Oromo Liberation audio web site in Oromo 21 May 03: ""Oromo rebels claims killing eight government soldiers",,,,,2,Gombis,Oromiya state,Borana zone,3.733333,38.583333,POINT (38.583333 3.733333),135078,Ethiopia,530,ETH,Africa,1,1,2003-05-15,2003-05-15,0,0,0,0,0,0,8
34953,2003,1,2003,2003,1,329,Ethiopia: Ogaden,719,Government of Ethiopia - ONLF,97,530.0,Government of Ethiopia,497,,ONLF,-1,"BBC Monitoring Africa 7/6-03; Radio Freedom, Voice of the Ogadeni People audio web site in Somali 6 Jun 03: ""Rebel group claims killing five government soldiers in southeast",,,,,1,Maramer,Somali state,Gode zone,6.88333,43.26667,POINT (43.266670 6.883330),139407,Ethiopia,530,ETH,Africa,1,1,2003-05-28,2003-05-28,0,0,0,0,0,0,5
34319,2003,0,2003,2003,2,4611,Dizi   - Suri,5221,Dizi   - Suri,601,,Dizi  ,688,,Suri,-1,"66th Special Report of Ethiopian Human Rights Council: Another Ethnic Conflict in Bench-Maji Zone, October 15 2003.",,,,,2,Surma woreda,SNNP state,Bench Maji zone,5.866666,35.283333,POINT (35.283333 5.866666),137951,Ethiopia,530,ETH,Africa,1,4,2003-06-01,2003-06-30,1,0,0,0,1,1,1
206791,2003,1,2003,2003,2,13623,Hamar (Ethiopia) - Nyangatom ,14644,Hamar (Ethiopia) - Nyangatom ,6294,,Hamar (Ethiopia),712,,Nyangatom ,1,"""Addressing pastoralist conflict in Ethiopia: The case of the Kuraz and Hamer sub-districts of South Omo zone,2005-12-31,P. 24""",Addressing pastoralist conflict in Ethiopia: The case of the Kuraz and Hamer sub-districts of South Omo zone,2005-12-31,P. 24,,3,South Omo zone,SNNP state,South Omo zone,5.783333,36.566667,POINT (36.566667 5.783333),137954,Ethiopia,530,ETH,Africa,1,5,2003-07-01,2003-12-31,0,0,0,61,61,61,61
34304,2003,0,2003,2003,2,4611,Dizi   - Suri,5221,Dizi   - Suri,601,,Dizi  ,688,,Suri,-1,"66th Special Report of Ethiopian Human Rights Council: Another Ethnic Conflict in Bench-Maji Zone, October 15 2003.",,,,,1,Beru Kebele,SNNP state,Bench Maji zone,6.25,35.25,POINT (35.250000 6.250000),138671,Ethiopia,530,ETH,Africa,1,1,2003-07-23,2003-07-23,0,4,0,0,4,4,4
34300,2003,0,2003,2003,2,4611,Dizi   - Suri,5221,Dizi   - Suri,601,,Dizi  ,688,,Suri,-1,"66th Special Report of Ethiopian Human Rights Council: Another Ethnic Conflict in Bench-Maji Zone, October 15 2003.",,,,,1,Beru Kebele,SNNP state,Bench Maji zone,6.25,35.25,POINT (35.250000 6.250000),138671,Ethiopia,530,ETH,Africa,2,4,2003-07-24,2003-08-19,13,4,0,0,17,17,17
